or else... 	o sino...
otherwise 	de otro modo
if 	si
whether 	si
unless 	a menos que
provided  	siempre que, mientras
providing 	siempre que, mientras
as long as 	siempre que, mientras
in case 	en caso de que
although  	aunque
though 	aunque
even though 	aunque
even if 	incluso si
not even if 	ni siquiera si
despite / in spite of 	a pesar de
in spite of 	a pesar de
in spite of 	a pesar de
regardless of 	sin importar, sin que importe
therefore 	por lo tanto
hence 	de ahí
thus 	por lo tanto
so 	entonces
consequently 	por lo tanto, en consecuencia
then 	entonces
moreover 	además
furthermore 	además
besides 	además
in addition to 	además de
but 	pero
however 	sin embargo
nonetheless  	sin embargo
nevertheless 	sin embargo
nevertheless 	sin embargo
yet  	sin embargo, aun así
even so 	sin embargo, aun así
even so 	sin embargo, aun así
still 	sin embargo
instead 	en su lugar, en lugar de ello
on the contrary 	por el contrario
because 	porque
for 	porque
because of 	debido a
since 	puesto que
as 	puesto que
due to  	debido a
owing to 	debido a
owing to 	debido a
as if  as though 	como si
as though 	como si
than 	que
so 	entonces
so that 	para que
so as to 	para que, de manera que
so as not to 	para no
in order to 	para
